rems_name,rems_code,rems_unit,aqua_code,aqua_unit,type,check
Titanium Dissolved,TI-D,mg/L,,,param,
Thallium Dissolved,TL-D,mg/L,Tl_diss,mg/l,param,
Uranium Dissolved,U--D,mg/L,U_diss,ug/l,param,
Vanadium Dissolved,V--D,mg/L,V_diss,ug/L,param,
Zinc Dissolved,ZN-D,mg/L,Zn_diss,ug/L,param,
Cadmium Total,CD-T,mg/L,Cd_tot,ug/l,param,
Zinc Total,ZN-T,mg/L,Zn_tot,ug/l,param,
Phosphorus Total,P--T,mg/L,,,param,
Iron Total,FE-T,mg/L,Fe_tot,mg/l,param,
Silica Reactive Diss,1120,mg/L,,,param,
Copper Total,CU-T,mg/L,Cu_tot,ug/l,param,
Nickel Total,NI-T,mg/L,Ni_tot,ug/l,param,
Aluminum Total,AL-T,mg/L,Al_tot,ug/l,param,
Selenium Total,SE-T,mg/L,,,param,
Thallium Total,TL-T,mg/L,Tl_tot,mg/l,param,
Nitrogen Kjel.Tot(N),0113,mg/L,,,param,
Hardness Total (Total),0107,mg/L,,,param,
Arsenic Total,AS-T,mg/L,As_tot,ug/l,param,
Nitrogen Total,0114,mg/L,,,param,
Acidity pH 4.5,0132,mg/L,,,param,
Nitrogen NO2 + NO3,0109,mg/L,,,param,
Sodium Total,NA-T,mg/L,,,param,
Chromium Total,CR-T,mg/L,,,param,
Cobalt Total,CO-T,mg/L,,,param,
Strontium Total,SR-T,mg/L,,,param,
Tellurium Total,TE-T,mg/L,,,param,
Sulfur Total,S--T,mg/L,,,param,
Antimony Total,SB-T,mg/L,Sb_tot,ug/l,param,
Titanium Total,TI-T,mg/L,,,param,
Vanadium Total,V--T,mg/L,V_tot,ug/L,param,
Molybdenum Total,MO-T,mg/L,Mo_tot,ug/l,param,
Silver Total,AG-T,mg/L,Ag_tot,ug/l,param,
Lead Total,PB-T,mg/L,Pb_tot,ug/l,param,
Boron Total,B--T,mg/L,,,param,
Potassium Total,K--T,mg/L,,,param,
Tin Total,SN-T,mg/L,,,param,
Barium Total,BA-T,mg/L,,,param,
Phosphorus Ort.Dis-P,1118,mg/L,,,param,
Lithium Dissolved,LI-D,mg/L,Li,mg/l,param,
Silicon Total,SI-T,mg/L,,,param,
Calcium Total,CA-T,mg/L,,,param,
Magnesium Total,MG-T,mg/L,,,param,
Beryllium Total,BE-T,mg/L,,,param,
Zirconium Total,ZR-T,mg/L,,,param,
Manganese Total,MN-T,mg/L,Mn_tot,mg/L,param,
Lithium Total,LI-T,mg/L,,,param,
Nitrogen Organic-Total,0112,mg/L,,,param,
Uranium Total,U--T,mg/L,U_tot,ug/l,param,
Cyanide WAD,0157,mg/L,,,param,
Bismuth Total,BI-T,mg/L,,,param,
Bromide Dissolved,1101,mg/L,Br,mg/l,param,
Acidity pH 8.3,0131,mg/L,,,param,
Zirconium Dissolved,ZR-D,mg/L,,,param,
Nitrogen Amm.Total,0108,mg/L,,,param,
Tellerium Dissolved,TE-D,mg/L,,,param,
,,,Eh,mV,param,
,,,TOC,mg/l,param,
,,,TSS,mg/l,param,
,,,CN_diss,ug/l,param,
,,,CN_tot,ug/l,param,
,,,Cr_III_diss,ug/l,param,
,,,Cr_VI_diss,ug/l,param,
,,,Fe_II_diss,mg/l,param,
,,,Fe_III_diss,mg/l,param,
,,,Hg_diss,ug/l,param,
,,,Hg_tot,ug/L,param,
,,,Benzene,ug/l,param,
,,,Ethylbenzene,ug/l,param,
,,,Toluene,ug/l,param,
,,,TCE,ug/l,param,
,,,PCE,ug/l,param,
,,,Vinyl chloride,ug/l,param,
,,,Xylene,ug/l,param,
,,,18O,,param,
,,,2H,‰,param,
,,,14C,% mod.,param,
,,,Tritium,T.U.,param,
,,,Density,g/cm3,param,
