SampleID,Sample_Date,Analysis_Date,Project,Watertype,shortWatertype,Comment,Reference,Quality_control,Duplicate_ID,Labcode,StationID,Location,Geology,Coord_Lat,Coord_Long,X,Y,Elevation,Well_Depth,Screen_Top,Screen_Mid,Screen_Bottom,Gradient,Station_Comment,Sample_Depth,Temp,pH_lab,Cond,Meas_Alk,CO3,HC03,Cl,F,Meas_Hardness,NH4,NO3,NO2,SO4,Ag_diss,Al_diss,As_diss,B,Ba,Ca,Cd_diss,Cr_diss,Cu_diss,DO,Fe_diss,K,Mg,Mn_diss,Mo_diss,Na,Ni_diss,Pb_diss,pH_field,Sb_diss,Cond_field,Se_diss,Si,Sr,Tl_diss,U_diss,V_diss,Zn_diss,Cd_tot,Zn_tot,Fe_tot,Cu_tot,Ni_tot,Al_tot,Tl_tot,As_tot,Sb_tot,V_tot,Mo_tot,Ag_tot,Pb_tot,Li,Mn_tot,U_tot,Br,Acidity_pH_4_5,Acidity_pH_8_3,Alkalinity_Phen__8_3,Anion_Sum,Barium_Total,Beryllium_Dissolved,Beryllium_Total,Bismuth_Dissolved,Bismuth_Total,Boron_Total,Calcium_Total,Cation_-_Anion_Balance,Cation_Sum,Chromium_Total,Cobalt_Dissolved,Cobalt_Total,Cyanide_WAD,Hardness_Total_(Total),Hydroxide_Alkalinity,Lithium_Total,Magnesium_Total,Nitrate(NO3)_+_Nitrite(NO2)_Dissolved,Nitrogen_(Kjeldahl)_Total_Dissolved,Nitrogen_Ammonia_Total,Nitrogen_Kjel_Tot(N),Nitrogen_NO2_+_NO3,Nitrogen_Organic_Total_Dissolved,Nitrogen_Organic-Total,Nitrogen_Total,Nitrogen_Total_Dissolved,Phosphorus_Ort_Dis-P,Phosphorus_Total,Phosphorus_Total_Dissolved,Potassium_Total,Residue:_Filterable_1_0u_(TDS),Selenium_Total,Silica_Reactive_Diss,Silicon_Total,Sodium_Total,Strontium_Total,Sulfur_Dissolved,Sulfur_Total,Tellurium_Total,Tin_Dissolved,Tin_Total,Titanium_Dissolved,Titanium_Total,Turbidity,Zirconium_Dissolved,Zirconium_Total
,,,,,,,,,,,,,,°,°,m,m,m(asl),m,m,m,m,,,m,°C,,uS/cm,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,,mg/L,uS/cm,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,meq/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,%,meq/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,NTU,mg/L,mg/L
N/A,1987-07-07,N/A,BACKGROUND,Fresh Water,N/A,N/A,N/A,N/A,N/A,N/A,1401030,N/A,N/A,49.2064,-119.8228,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.2,115,57.4,N/A,N/A,0.8,0.1,N/A,0.005,N/A,N/A,1,N/A,0.02,0.001,0.01,0.06,3.75,0.01,0.01,0.01,N/A,0.02,2.6,5.95,0.01,0.01,10.7,0.05,0.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.01,0.01,0.01,0.01,24.1,0.01,0.05,N/A,N/A,0.001,N/A,0.01,0.02,N/A,0.1,N/A,0.16,N/A,N/A,N/A,N/A,6.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.8,N/A,N/A,0.01,0.1,0.1,N/A,N/A,N/A,N/A,6,0.02,N/A,N/A,0.03,N/A,N/A,N/A,N/A,N/A,N/A,0.005,0.003,N/A,58,N/A,0.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,1991-08-07,N/A,BACKGROUND,Fresh Water,N/A,N/A,N/A,N/A,N/A,N/A,1401030,N/A,N/A,49.2064,-119.8228,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.4,156,85,N/A,N/A,1,0.1,N/A,0.011,N/A,0.005,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.4,N/A,N/A,N/A,11.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.01,0.58,155,0.02,0.05,0.05,N/A,0.005,N/A,0.01,0.01,N/A,0.1,N/A,1.23,N/A,N/A,N/A,N/A,1.2,N/A,0.01,N/A,N/A,N/A,N/A,N/A,5.94,N/A,N/A,0.01,N/A,0.1,N/A,N/A,N/A,N/A,10.7,0.02,N/A,N/A,0.34,N/A,N/A,N/A,N/A,N/A,N/A,0.016,0.003,N/A,90,N/A,0.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,1994-06-08,N/A,BACKGROUND,Fresh Water,N/A,N/A,N/A,N/A,N/A,N/A,1401030,N/A,N/A,49.2064,-119.8228,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.3,205,101,N/A,N/A,1,0.1,N/A,0.005,N/A,0.005,7.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.002,0.01,14.5,0.008,0.01,0.12,0.03,0.04,0.02,0.003,0.004,0.03,0.03,N/A,0.142,N/A,N/A,N/A,N/A,0.5,N/A,0.036,N/A,0.001,N/A,0.02,0.05,43.8,N/A,N/A,0.002,N/A,0.004,N/A,N/A,N/A,N/A,12.1,0.02,N/A,N/A,0.07,N/A,N/A,N/A,N/A,N/A,N/A,0.01,0.003,N/A,96,0.03,5.2,6.6,N/A,0.283,N/A,N/A,0.02,N/A,0.02,N/A,0.011,N/A,N/A,0.003
N/A,2001-09-09,N/A,BACKGROUND,Fresh Water,N/A,N/A,N/A,N/A,N/A,N/A,1401030,N/A,N/A,49.2064,-119.8228,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.34,157,84.6,N/A,N/A,1,0.07,55.1,0.013,0.01,0.005,0.5,0.01,0.05,5e-04,0.01,0.018,4.6,0.005,0.008,0.008,N/A,0.005,3.1,10.6,0.028,0.01,10.6,0.02,0.05,N/A,0.05,N/A,0.05,0.2,0.028,N/A,N/A,0.01,0.022,0.006,0.012,68.75,0.007,0.02,0.06,N/A,0.06,0.06,0.01,0.01,0.01,0.06,N/A,0.563,N/A,0.05,N/A,N/A,0.5,N/A,0.005,0.008,0.011,N/A,N/A,0.01,4.5,N/A,N/A,0.006,0.008,0.006,N/A,60.6525,N/A,N/A,12,0.015,N/A,N/A,N/A,N/A,N/A,N/A,0.27,N/A,0.05,0.013,0.002,3.2,90,0.06,N/A,1.52,11.1,0.02,0.13,0.18,N/A,0.05,0.06,0.002,0.003,N/A,N/A,N/A
N/A,2009-11-11,N/A,BACKGROUND,Fresh Water,N/A,N/A,N/A,N/A,N/A,N/A,1401030,N/A,N/A,49.2064,-119.8228,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.6,163,83,3.2,94,1.5,0.07,N/A,N/A,0.002,0.002,3.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5e-06,2e-04,0.469,0.00015,0.00011,0.0025,2e-06,8e-05,2e-05,2e-04,0.00223,5e-06,0.000382,N/A,0.0194,5e-06,N/A,0.5,0.5,2.7,N/A,0.00424,N/A,1e-05,N/A,5e-06,0.05,4.67,N/A,N/A,1e-04,N/A,9e-06,N/A,55.8,N/A,0.0038,10.7,0.002,N/A,N/A,0.08,0,N/A,N/A,0.08,N/A,N/A,0.003,0.002,3.17,68,4e-05,N/A,1.16,10.6,0.0339,N/A,3,N/A,N/A,8e-05,N/A,0.0013,5.2,N/A,1e-04
N/A,2010-08-09,N/A,BACKGROUND,Fresh Water,N/A,N/A,N/A,N/A,N/A,N/A,1401030,N/A,N/A,49.2064,-119.8228,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.36,206,89,1.9,100,1.3,0.07,76.4,0.027,0.002,0.002,22,5e-06,0.003,6e-05,0.05,0.00373,8.91,5e-06,1e-04,0.00017,N/A,0.001,3.54,13.1,0.0583,0.00182,11.9,0.00016,8e-06,N/A,2e-05,N/A,4e-05,0.182,0.046,2e-06,5e-06,2e-04,1e-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0041,N/A,N/A,N/A,N/A,N/A,1.6,N/A,N/A,1e-05,N/A,5e-06,N/A,N/A,N/A,N/A,N/A,N/A,6e-06,N/A,5e-04,N/A,N/A,N/A,N/A,0.002,N/A,0.03,0.23,0,N/A,0.2,0.23,N/A,N/A,0.003,0.002,N/A,110,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1e-05,N/A,5e-04,N/A,5.5,1e-04,N/A
N/A,2016-11-02,N/A,BACKGROUND,Fresh Water,N/A,N/A,N/A,N/A,N/A,N/A,1401030,N/A,N/A,49.2064,-119.8228,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.84,826,278,1,278,7.8,0.1,444,0.006,0.015,0.005,190,1e-05,0.0016,0.00109,0.014,0.103,134,5e-06,1e-04,2e-04,0.04,0.105,4.17,26.3,0.169,0.00301,15.6,5e-04,5e-05,7.5,1e-04,681,5e-05,10.2,0.866,1e-05,0.00183,5e-04,0.001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,9.75,N/A,1e-04,N/A,5e-05,N/A,N/A,N/A,-0.5,9.66,N/A,1e-04,N/A,N/A,N/A,1,N/A,N/A,0.016,0.05,N/A,N/A,N/A,0.05,N/A,N/A,0.03,N/A,N/A,0.011,N/A,580,N/A,N/A,N/A,N/A,N/A,64.6,N/A,N/A,1e-04,N/A,3e-04,N/A,9.63,N/A,N/A
N/A,2018-06-14,N/A,BACKGROUND,Ground Water,N/A,N/A,N/A,N/A,N/A,N/A,1401030,N/A,N/A,49.2064,-119.8228,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.06,713,226,1,226,2.88,0.111,457,N/A,0.003,0.001,216,1e-05,0.0015,0.001,0.012,0.0982,139,5e-06,0.00011,0.00021,0.1,0.173,4.46,26.8,0.187,0.00333,16.4,5e-04,5e-05,7.56,1e-04,786,5e-05,10.3,0.888,1e-05,0.0017,5e-04,0.001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,9.09,N/A,1e-04,N/A,5e-05,N/A,N/A,N/A,4.6,9.97,N/A,1e-04,N/A,N/A,N/A,1,N/A,N/A,0.0032,0.05,0.005,N/A,N/A,0.05,N/A,N/A,0.049,N/A,N/A,0.0031,N/A,586,N/A,N/A,N/A,N/A,N/A,75.6,N/A,N/A,1e-04,N/A,3e-04,N/A,17.8,N/A,N/A
